"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"1496","arxiv:2601.07823","2","MEDIUM","A4","Video Generation Models in Robotics -- Applications, Research Challenges, Future Directions","arxiv:2601.07823","Video generation models have emerged as high-fidelity models of the physical world, capable of synthesizing high-quality videos capturing fine-grained interactions between agents and their environments conditioned on multi-modal user inputs. Their impressive capabilities address many of the long-standing challenges faced by physics-based simulators, driving broad adoption in many problem domains, e.g., robotics. For example, video models enable photorealistic, physically consistent deformable-body simulation without making prohibitive simplifying assumptions, which is a major bottleneck in physics-based simulation. Moreover, video models can serve as foundation world models that capture the dynamics of the world in a fine-grained and expressive way. They thus overcome the limited expressiveness of language-only abstractions in describing intricate physical interactions. In this survey, we provide a review of video models and their applications as embodied world models in robotics, encompassing cost-effective data generation and action prediction in imitation learning, dynamics and rewards modeling in reinforcement learning, visual planning, and policy evaluation. Further, we highlight important challenges hindering the trustworthy integration of video models in robotics, which include poor instruction following, hallucinations such as violations of physics, and unsafe content generation, in addition to fundamental limitations such as significant data curation, training, and inference costs. We present potential future directions to address these open research challenges to motivate research and ultimately facilitate broader applications, especially in safety-critical settings.","medium","A4","1","A4=medium","A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.","A4=It is directly or plausibly transferable to selecting robot experience for policy learning.","A4=false","expansion_round_1","","","arxiv:2601.07823 | paper:3561541338728835080","","","","","","","A4","false","false","false","false","A4/expansion/round4/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"1509","arxiv:2601.12925","2","HIGH","A1","ForeDiffusion: Foresight-Conditioned Diffusion Policy via Future View Construction for Robot Manipulation","arxiv:2601.12925","Diffusion strategies have advanced visual motor control by progressively denoising high-dimensional action sequences, providing a promising method for robot manipulation. However, as task complexity increases, the success rate of existing baseline models decreases considerably. Analysis indicates that current diffusion strategies are confronted with two limitations. First, these strategies only rely on short-term observations as conditions. Second, the training objective remains limited to a single denoising loss, which leads to error accumulation and causes grasping deviations. To address these limitations, this paper proposes Foresight-Conditioned Diffusion (ForeDiffusion), by injecting the predicted future view representation into the diffusion process. As a result, the policy is guided to be forward-looking, enabling it to correct trajectory deviations. Following this design, ForeDiffusion employs a dual loss mechanism, combining the traditional denoising loss and the consistency loss of future observations, to achieve the unified optimization. Extensive evaluation on the Adroit suite and the MetaWorld benchmark demonstrates that ForeDiffusion achieves an average success rate of 80% for the overall task, significantly outperforming the existing mainstream diffusion methods by 23% in complex tasks, while maintaining more stable performance across the entire tasks.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for ForeDiffusion: Foresight-Conditioned Diffusion Policy via Future View Construction for Robot Manipulation.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:2601.12925","arxiv:2601.12925","133845730086117543","","","related-papers-round2 | related-papers-round3","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"1522","arxiv:2601.16212","2","HIGH","A1 | A4 | A5 | A8","Point Bridge: 3D Representations for Cross Domain Policy Learning","arxiv:2601.16212","Robot foundation models are beginning to deliver on the promise of generalist robotic agents, yet progress remains constrained by the scarcity of large-scale real-world manipulation datasets. Simulation and synthetic data generation offer a scalable alternative, but their usefulness is limited by the visual domain gap between simulation and reality. In this work, we present Point Bridge, a framework that leverages unified, domain-agnostic point-based representations to unlock synthetic datasets for zero-shot sim-to-real policy transfer, without explicit visual or object-level alignment. Point Bridge combines automated point-based representation extraction via Vision-Language Models (VLMs), transformer-based policy learning, and efficient inference-time pipelines to train capable real-world manipulation agents using only synthetic data. With additional co-training on small sets of real demonstrations, Point Bridge further improves performance, substantially outperforming prior vision-based sim-and-real co-training methods. It achieves up to 44% gains in zero-shot sim-to-real transfer and up to 66% with limited real data across both single-task and multitask settings. Videos of the robot are best viewed at: https://pointbridge3d.github.io/","high","A1 | A4 | A5 | A8","4","A1=high | A4=medium | A5=medium | A8=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Point Bridge: 3D Representations for Cross Domain Policy Learning. | A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility. | A5=It achieves up to 44% gains in zero-shot sim-to-real transfer and up to 66% with limited real data across both single-task and multitask settings. | A8=Unified domain-agnostic point representations bridge synthetic and real visual domains for zero-shot manipulation policy transfer.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training. | A4=It is directly or plausibly transferable to selecting robot experience for policy learning. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A8=It supports geometry-aware similarity for selecting data that share contact and spatial structure despite visual differences.","A1=true | A4=true | A5=true | A8=true","expansion_round_1 | expansion_round_2","","2026","arxiv:2601.16212 | paper:5303797641075512772 | paperid:5303797641075512772","arxiv:2601.16212","5303797641075512772","","","related-papers | related-papers-round2","recent","A1","false","false","false","true","A1/expansion-round2-registry.json | A1/paper-registry-complete.json | A4/expansion/round3/registry.jsonl | A5/expansion/raw/round2-citers.json | A7/raw/q30-recent-generalist.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl","A1/expansion-round2-triage.jsonl | A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round2-triage.jsonl | A8/work/expansion-triage.jsonl"
"1535","arxiv:2601.21251","2","HIGH","A5","Abstracting Robot Manipulation Skills via Mixture-of-Experts Diffusion Policies","arxiv:2601.21251","Diffusion-based policies have recently shown strong results in robot manipulation, but their extension to multi-task scenarios is hindered by the high cost of scaling model size and demonstrations. We introduce Skill Mixture-of-Experts Policy (SMP), a diffusion-based mixture-of-experts policy that learns a compact orthogonal skill basis and uses sticky routing to compose actions from a small, task-relevant subset of experts at each step. A variational training objective supports this design, and adaptive expert activation at inference yields fast sampling without oversized backbones. We validate SMP in simulation and on a real dual-arm platform with multi-task learning and transfer learning tasks, where SMP achieves higher success rates and markedly lower inference cost than large diffusion baselines. These results indicate a practical path toward scalable, transferable multi-task manipulation: learn reusable skills once, activate only what is needed, and adapt quickly when tasks change.","high","A5","1","A5=high","A5=Diffusion-based policies have recently shown strong results in robot manipulation, but their extension to multi-task scenarios is hindered by the high cost of scaling model size and demonstrations.","A5=It informs adaptive control of task and data-mixture proportions so policy training can respond to coverage, loss, or capability gaps.","A5=true","primary_assignment","Ce Hao, Xuanran Zhai, Yaohua Liu, Harold Soh","","arxiv:2601.21251 | paper:4875285405212043463","","paper:4875285405212043463","cs.RO","10 | 5 | 68 | 71","search-papers","general | recent","A5","false","false","false","false","A5/assigned-papers.json | A5/canonical-pool.jsonl | A5/evidence-ledger.jsonl | A5/inspection-manifest.json | A5/paper-registry.json | A5/read-manifest.json","A5/assigned-abstracts.jsonl"
"1548","arxiv:2602.00514","2","HIGH","A1","A Low-Cost Vision-Based Tactile Gripper with Pretraining Learning for Contact-Rich Manipulation","arxiv:2602.00514","Robotic manipulation in contact-rich environments remains challenging, particularly when relying on conventional tactile sensors that suffer from limited sensing range, reliability, and cost-effectiveness. In this work, we present LVTG, a low-cost visuo-tactile gripper designed for stable, robust, and efficient physical interaction. Unlike existing visuo-tactile sensors, LVTG enables more effective and stable grasping of larger and heavier everyday objects, thanks to its enhanced tactile sensing area and greater opening angle. Its surface skin is made of highly wear-resistant material, significantly improving durability and extending operational lifespan. The integration of vision and tactile feedback allows LVTG to provide rich, high-fidelity sensory data, facilitating reliable perception during complex manipulation tasks. Furthermore, LVTG features a modular design that supports rapid maintenance and replacement. To effectively fuse vision and touch, We adopt a CLIP-inspired contrastive learning objective to align tactile embeddings with their corresponding visual observations, enabling a shared cross-modal representation space for visuo-tactile perception. This alignment improves the performance of an Action Chunking Transformer (ACT) policy in contact-rich manipulation, leading to more efficient data collection and more effective policy learning. Compared to the original ACT method, the proposed LVTG with pretraining achieves significantly higher success rates in manipulation tasks.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for A Low-Cost Vision-Based Tactile Gripper with Pretraining Learning for Contact-Rich Manipulation.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:2602.00514","arxiv:2602.00514","3927084490089515791","","","related-papers-round2 | related-papers-round3","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"1561","arxiv:2602.03389","2","HIGH","A2","Chain-of-Goals Hierarchical Policy for Long-Horizon Offline Goal-Conditioned RL","arxiv:2602.03389","Offline goal-conditioned reinforcement learning remains challenging for long-horizon tasks. While hierarchical approaches mitigate this issue by decomposing tasks, most existing methods rely on separate high- and low-level networks and generate only a single intermediate subgoal, leaving several structural limitations in long-horizon decision-making. To address this limitation, we draw inspiration from chain-of-thought reasoning and propose the Chain-of-Goals Hierarchical Policy (CoGHP), a novel framework that reformulates hierarchical decision-making as autoregressive sequence modeling within a unified architecture. Given a state and a final goal, CoGHP autoregressively generates a sequence of latent subgoals followed by the primitive action, where each latent subgoal acts as a reasoning step that conditions subsequent predictions. To implement this efficiently, we introduce an MLP-Mixer backbone, which supports cross-token communication and captures structural relationships among state, goal, latent subgoals, and action. Across challenging navigation and manipulation benchmarks, CoGHP consistently outperforms strong offline baselines, demonstrating improved performance on long-horizon tasks. Project page: https://wlsdn9350.github.io/projects/coghp/","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2026","arxiv:2602.03389","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"1574","arxiv:2602.06512","2","HIGH","A7","Beyond the Majority: Long-tail Imitation Learning for Robotic Manipulation","arxiv:2602.06512","While generalist robot policies hold significant promise for learning diverse manipulation skills through imitation, their performance is often hindered by the long-tail distribution of training demonstrations. Policies learned on such data, which is heavily skewed towards a few data-rich head tasks, frequently exhibit poor generalization when confronted with the vast number of data-scarce tail tasks. In this work, we conduct a comprehensive analysis of the pervasive long-tail challenge inherent in policy learning. Our analysis begins by demonstrating the inefficacy of conventional long-tail learning strategies (e.g., re-sampling) for improving the policy's performance on tail tasks. We then uncover the underlying mechanism for this failure, revealing that data scarcity on tail tasks directly impairs the policy's spatial reasoning capability. To overcome this, we introduce Approaching-Phase Augmentation (APA), a simple yet effective scheme that transfers knowledge from data-rich head tasks to data-scarce tail tasks without requiring external demonstrations. Extensive experiments in both simulation and real-world manipulation tasks demonstrate the effectiveness of APA. Our code and demos are publicly available at: https://mldxy.github.io/Project-VLA-long-tail/.","high","A7","1","A7=high","A7=Uses approaching-phase augmentation to transfer spatial reasoning from data-rich head tasks to data-scarce tail tasks after showing naive resampling is insufficient.","A7=It targets the failure mode where aggregate success hides poor performance on rare tasks.","A7=true","primary_assignment","Junhong Zhu, Ji Zhang, Jingkuan Song, Lianli Gao, Heng Tao Shen","2026","arxiv:2602.06512","arxiv:2602.06512","5062952786161653227","cs.RO","23","search-papers","recent","A7","false","true","true","false","A5/canonical-pool.jsonl | A5/paper-registry.json | A7/raw/q01-direct-terms.json | A7/raw/q05-synonyms.json | A7/raw/q14-space-coverage.json | A7/raw/q15-long-tail-failure.json | A7/raw/q30-recent-generalist.json | A7/raw/q33-recent-longtail.json | A7/raw/q40-longtail-collection.json | A7/work/assigned-papers.json | A7/work/assigned-papers.jsonl | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/read-manifest.json | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A7/work/abstract-triage.jsonl | A7/work/assigned-abstracts.jsonl"
"1587","arxiv:2602.10289","2","HIGH","A3","A Human-in-the-Loop Confidence-Aware Failure Recovery Framework for Modular Robot Policies","arxiv:2602.10289","Robots operating in unstructured human environments inevitably encounter failures, especially in robot caregiving scenarios. While humans can often help robots recover, excessive or poorly targeted queries impose unnecessary cognitive and physical workload on the human partner. We present a human-in-the-loop failure-recovery framework for modular robotic policies, where a policy is composed of distinct modules such as perception, planning, and control, any of which may fail and often require different forms of human feedback. Our framework integrates calibrated estimates of module-level uncert","high","A3","1","A3=high","A3=A confidence-aware human-in-the-loop framework requests help and recovers from modular-policy failures.","A3=It couples uncertainty, intervention, and recovery data in a deployment loop.","A3=true","expansion_round_3","Rohan Banerjee | Krishna Palempalli | Bohan Yang | Jiaying Fang | Alif Abdullah | Tom Silver | Sarah Dean | Tapomayukh Bhattacharjee","2026","arxiv:2602.10289","arxiv:2602.10289","9170316564187057123","cs.RO","q14-mech-recovery-intervention","firecrawl research related-papers","","A3","false","false","false","false","A3/paper-registry.json | A3/round3-registry.json | A6/raw-retrieval/q14-mech-recovery-intervention.json | A6/work/canonical-pool.jsonl | A8/raw/q08-synonyms.json | A8/work/canonical-pool.jsonl","A3/round3-triage.jsonl"
"1600","arxiv:2602.13086","2","HIGH","A6","UniManip: General-Purpose Zero-Shot Robotic Manipulation with Agentic Operational Graph","arxiv:2602.13086","Achieving general-purpose robotic manipulation requires robots to seamlessly bridge high-level semantic intent with low-level physical interaction in unstructured environments. However, existing approaches falter in zero-shot generalization: end-to-end Vision-Language-Action (VLA) models often lack the precision required for long-horizon tasks, while traditional hierarchical planners suffer from semantic rigidity when facing open-world variations. To address this, we present UniManip, a framework grounded in a Bi-level Agentic Operational Graph (AOG) that unifies semantic reasoning and physical grounding. By coupling a high-level Agentic Layer for task orchestration with a low-level Scene Layer for dynamic state representation, the system continuously aligns abstract planning with geometric constraints, enabling robust zero-shot execution. Unlike static pipelines, UniManip operates as a dynamic agentic loop: it actively instantiates object-centric scene graphs from unstructured perception, parameterizes these representations into collision-free trajectories via a safety-aware local planner, and exploits structured memory to autonomously diagnose and recover from execution failures. Extensive experiments validate the system's robust zero-shot capability on unseen objects and tasks, demonstrating a 22.5% and 25.0% higher success rate compared to state-of-the-art VLA and hierarchical baselines, respectively. Notably, the system enables direct zero-shot transfer from fixed-base setups to mobile manipulation without fine-tuning or reconfiguration. Our open-source project page can be found at https://henryhcliu.github.io/unimanip.","high","A6","1","A6=high","A6=Learns or supplies recovery, correction, retry, repair, or replanning behavior from failed or perturbed executions.","A6=Makes failure states informative for robust execution and for deciding what corrective data to collect next.","A6=true","expansion_round_1","","","arxiv:2602.13086","arxiv:2602.13086","8007133281895495179","","","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"1613","arxiv:2602.16911","2","HIGH","A2 | A4","SparTa: Sparse Graphical Task Models from a Handful of Demonstrations","arxiv:2602.16911","Learning long-horizon manipulation tasks efficiently is a central challenge in robot learning from demonstration. Unlike recent endeavors that focus on directly learning the task in the action domain, we focus on inferring what the robot should achieve in the task, rather than how to do so. To this end, we represent evolving scene states using a series of graphical object relationships. We propose a demonstration segmentation and pooling approach that extracts a series of manipulation graphs and estimates distributions over object states across task phases. In contrast to prior graph-based methods that capture only partial interactions or short temporal windows, our approach captures complete object interactions spanning from the onset of control to the end of the manipulation. To improve robustness when learning from multiple demonstrations, we additionally perform object matching using pre-trained visual features. In extensive experiments, we evaluate our method's demonstration segmentation accuracy and the utility of learning from multiple demonstrations for finding a desired minimal task model. Finally, we deploy the fitted models both in simulation and on a real robot, demonstrating that the resulting task representations support reliable execution across environments.","high","A2 | A4","2","A2=high | A4=medium","A2=Detects or learns semantically meaningful trajectory segments and uses them as variable-horizon action chunks or keypose-to-keypose control targets. | A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility.","A2=Boundary and horizon choices determine the training unit, feedback latency, credit assignment, and compounding-error exposure in long-horizon robot learning. | A4=It is directly or plausibly transferable to selecting robot experience for policy learning.","A2=true | A4=true","expansion_round_1 | primary_assignment","Adrian Röfer, Nick Heppert, Abhinav Valada","2026","arxiv:2602.16911 | paper:6750532058461697117","arxiv:2602.16911","6750532058461697117","cs.RO","2026 robot learning event boundaries temporal segmentation action chunk | learning to segment demonstrations programming by demonstration | robot learning trajectory segmentation event boundaries action sequences | robot manipulation demonstration segmentation subtask boundaries temporally extended actions","search-papers","false","A2","false","false","false","true","A2/assigned-papers.json | A2/assigned-registry-inspected.json | A2/assigned-registry-inspected.jsonl | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q01-direct.json | A2/raw/q02-direct.json | A2/raw/q29-programming-by-demo.json | A2/raw/q45-2026-boundaries.json | A4/expansion/round3/registry.jsonl | A8/raw/q27-recent.json | A8/work/canonical-pool.jsonl","A2/assigned-abstracts.jsonl | A2/triage.jsonl | A4/expansion/all-new-expansion-triage.jsonl"
"1626","arxiv:2602.20715","2","HIGH","A5","IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation","arxiv:2602.20715","Vision-Language-Action (VLA) models have demonstrated significant potential for generalist robotic policies; however, they struggle to generalize to long-horizon complex tasks in novel real-world domains due to distribution shifts and the scarcity of high-quality demonstrations. Although reinforcement learning (RL) offers a promising avenue for policy improvement, applying it to real-world VLA fine-tuning faces challenges regarding exploration efficiency, training stability, and sample cost. To address these issues, we propose IG-RFT, a novel Interaction-Guided Reinforced Fine-Tuning system designed for flow-based VLA models. Firstly, to facilitate effective policy optimization, we introduce Interaction-Guided Advantage Weighted Regression (IG-AWR), an RL algorithm that dynamically modulates exploration intensity based on the robot's interaction status. Furthermore, to address the limitations of sparse or task-specific rewards, we design a novel hybrid dense reward function that integrates the trajectory-level reward and the subtask-level reward. Finally, we construct a three-stage RL system comprising SFT, Offline RL, and Human-in-the-Loop RL for fine-tuning VLA models. Extensive real-world experiments on four challenging long-horizon tasks demonstrate that IG-RFT achieves an average success rate of 85.0%, significantly outperforming SFT (18.8%) and standard Offline RL baselines (40.0%). Ablation studies confirm the critical contributions of IG-AWR and hybrid reward shaping. In summary, our work establishes and validates a novel reinforced fine-tuning system for VLA models in real-world robotic manipulation.","high","A5","1","A5=high","A5=Vision-Language-Action (VLA) models have demonstrated significant potential for generalist robotic policies; however, they struggle to generalize to long-horizon complex tasks in novel real-world domains due to distribution shifts and the scarcity of high-quality demonstrations.","A5=It informs how contribution weights can align training with quality, advantage, density, or task importance in the robot experience-to-policy loop.","A5=true","primary_assignment","Zhian Su, Weijie Kong, Haonan Dong, Huixu Dong","","arxiv:2602.20715 | paper:4686205739969386764","","paper:4686205739969386764","cs.RO","52","search-papers","general","A5","false","false","false","false","A5/assigned-papers.json | A5/canonical-pool.jsonl | A5/evidence-ledger.jsonl | A5/inspection-manifest.json | A5/paper-registry.json | A5/read-manifest.json","A5/assigned-abstracts.jsonl"
"1639","arxiv:2603.02104","2","HIGH","A5","ACDC: Adaptive Curriculum Planning with Dynamic Contrastive Control for Goal-Conditioned Reinforcement Learning in Robotic Manipulation","arxiv:2603.02104","Goal-conditioned reinforcement learning has shown considerable potential in robotic manipulation; however, existing approaches remain limited by their reliance on prioritizing collected experience, resulting in suboptimal performance across diverse tasks. Inspired by human learning behaviors, we propose a more comprehensive learning paradigm, ACDC, which integrates multidimensional Adaptive Curriculum (AC) Planning with Dynamic Contrastive (DC) Control to guide the agent along a well-designed learning trajectory. More specifically, at the planning level, the AC component schedules the learning curriculum by dynamically balancing diversity-driven exploration and quality-driven exploitation based on the agent's success rate and training progress. At the control level, the DC component implements the curriculum plan through norm-constrained contrastive learning, enabling magnitude-guided experience selection aligned with the current curriculum focus. Extensive experiments on challenging robotic manipulation tasks demonstrate that ACDC consistently outperforms the state-of-the-art baselines in both sample efficiency and final task success rate.","high","A5","1","A5=high","A5=Inspired by human learning behaviors, we propose a more comprehensive learning paradigm, ACDC, which integrates multidimensional Adaptive Curriculum (AC) Planning with Dynamic Contrastive (DC) Control to guide the agent along a well-designed learning trajectory.","A5=It informs how a robot learner can order tasks, stages, or examples to improve learning efficiency and stability.","A5=true","primary_assignment","Xuerui Wang, Guangyu Ren, Tianhong Dai, Bintao Hu, Shuangyao Huang, Wenzhang Zhang, Hengyan Liu","2026","arxiv:2603.02104 | paper:4585500459150518967","","paper:4585500459150518967","cs.RO","2 | 57 | 59 | 61","search-papers","general | recent","A5","false","false","false","false","A5/assigned-papers.json | A5/canonical-pool.jsonl | A5/evidence-ledger.jsonl | A5/inspection-manifest.json | A5/paper-registry.json | A5/read-manifest.json","A5/assigned-abstracts.jsonl"
"1652","arxiv:2603.05504","2","HIGH","A5 | A8","RoboPocket: Improve Robot Policies Instantly with Your Phone","arxiv:2603.05504","Scaling imitation learning is fundamentally constrained by the efficiency of data collection. While handheld interfaces have emerged as a scalable solution for in-the-wild data acquisition, they predominantly operate in an open-loop manner: operators blindly collect demonstrations without knowing the underlying policy's weaknesses, leading to inefficient coverage of critical state distributions. Conversely, interactive methods like DAgger effectively address covariate shift but rely on physical robot execution, which is costly and difficult to scale. To reconcile this trade-off, we introduce RoboPocket, a portable system that enables Robot-Free Instant Policy Iteration using single consumer smartphones. Its core innovation is a Remote Inference framework that visualizes the policy's predicted trajectory via Augmented Reality (AR) Visual Foresight. This immersive feedback allows collectors to proactively identify potential failures and focus data collection on the policy's weak regions without requiring a physical robot. Furthermore, we implement an asynchronous Online Finetuning pipeline that continuously updates the policy with incoming data, effectively closing the learning loop in minutes. Extensive experiments demonstrate that RoboPocket adheres to data scaling laws and doubles the data efficiency compared to offline scaling strategies, overcoming their long-standing efficiency bottleneck. Moreover, our instant iteration loop also boosts sample efficiency by up to 2× in distributed environments a small number of interactive corrections per person. Project page and videos: https://robo-pocket.github.io.","high","A5 | A8","2","A5=high | A8=high","A5=Scaling imitation learning is fundamentally constrained by the efficiency of data collection. | A8=Augmented-reality visual foresight exposes predicted policy trajectories so distributed collectors can target weak regions and asynchronously fine-tune the policy.","A5=This adjacent transfer neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A8=It is a concrete human-in-the-loop mechanism for finding and collecting data at policy failure modes without continuous physical-robot execution.","A5=true | A8=true","expansion_round_2 | primary_assignment","","2026","arxiv:2603.05504","arxiv:2603.05504","1607796727160667596","","A8 | q04-direct-failure-aware-data | q15-outcome","search-papers","recent","A5 | A8","false","false","false","false","A5/expansion/raw/round2-citers.json | A5/expansion/raw/round3-citers.json | A6/raw-retrieval/q04-direct-failure-aware-data.json | A6/work/canonical-pool.jsonl | A7/raw/q13-novelty-coverage.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl | A8/raw/q15-outcome.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl","A5/expansion/round2-triage.jsonl | A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl"
"1665","arxiv:2603.09513","2","MEDIUM","A4","Beyond Short-Horizon: VQ-Memory for Robust Long-Horizon Manipulation in Non-Markovian Simulation Benchmarks","arxiv:2603.09513","The high cost of collecting real-robot data has made robotic simulation a scalable platform for both evaluation and data generation. Yet most existing benchmarks concentrate on simple manipulation tasks such as pick-and-place, failing to capture the non-Markovian characteristics of real-world tasks and the complexity of articulated object interactions. To address this limitation, we present RuleSafe, a new articulated manipulation benchmark built upon a scalable LLM-aided simulation framework. RuleSafe features safes with diverse unlocking mechanisms, such as key locks, password locks, and logic locks, which require different multi-stage reasoning and manipulation strategies. These LLM-generated rules produce non-Markovian and long-horizon tasks that require temporal modeling and memory-based reasoning. We further propose VQ-Memory, a compact and structured temporal representation that uses vector-quantized variational autoencoders (VQ-VAEs) to encode past proprioceptive states into discrete latent tokens. This representation filters low-level noise while preserving high-level task-phase context, providing lightweight yet robust temporal cues that are compatible with existing Vision-Language-Action models (VLA). Extensive experiments on state-of-the-art VLA models and diffusion policies show that VQ-Memory consistently improves long-horizon planning, enhances generalization to unseen configurations, and enables more efficient manipulation with reduced computational cost. Project page: vqmemory.github.io","medium","A4","1","A4=medium","A4=Uses a valuation or attribution signal to estimate the contribution of training examples to model or policy outcomes.","A4=It is directly or plausibly transferable to selecting robot experience for policy learning.","A4=true","expansion_round_1","","","arxiv:2603.09513 | paper:5038984531088010988","","","","","","","A4","false","false","false","false","A4/expansion/round3/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"1678","arxiv:2603.13616","2","HIGH","A7","Beyond Binary Success: Sample-Efficient and Statistically Rigorous Robot Policy Comparison","arxiv:2603.13616","Generalist robot manipulation policies are becoming increasingly capable, but are limited in evaluation to a small number of hardware rollouts. This strong resource constraint in real-world testing necessitates both more informative performance measures and reliable and efficient evaluation procedures to properly assess model capabilities and benchmark progress in the field. This work presents a novel framework for robot policy comparison that is sample-efficient, statistically rigorous, and applicable to a broad set of evaluation metrics used in practice. Based on safe, anytime-valid inference (SAVI), our test procedure is sequential, allowing the evaluator to stop early when sufficient statistical evidence has accumulated to reach a decision at a pre-specified level of confidence. Unlike previous work developed for binary success, our unified approach addresses a wide range of informative metrics: from discrete partial credit task progress to continuous measures of episodic reward or trajectory smoothness, spanning both parametric and nonparametric comparison problems. Through extensive validation on simulated and real-world evaluation data, we demonstrate up to 70% reduction in evaluation burden compared to standard batch methods and up to 50% reduction compared to state-of-the-art sequential procedures designed for binary outcomes, with no loss of statistical rigor. Notably, our empirical results show that competing policies can be separated more quickly when using fine-grained task progress than binary success metrics.","high","A7","1","A7=high","A7=Generalist robot manipulation policies are becoming increasingly capable, but are limited in evaluation to a small number of hardware rollouts.","A7=It expands or measures task, environment, object, or observation coverage for more robust behavior.","A7=true","expansion_round_1","","","arxiv:2603.13616","arxiv:2603.13616","6849930704453497859","","A8 | q07-synonyms","citers","","A7","false","false","false","false","A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl | A8/raw/q07-synonyms.json | A8/work/canonical-pool.jsonl","A7/work/expansion-triage.jsonl"
